stock_id,name,industry,market,asset_type
0050,元大台灣50,其他,上市,etf
0051,元大中型100,其他,上市,etf
0052,富邦科技,其他,上市,etf
0053,元大電子,其他,上市,etf
0055,元大MSCI金融,其他,上市,etf
0056,元大高股息,其他,上市,etf
0057,富邦摩台,其他,上市,etf
0061,元大寶滬深,其他,上市,etf
006203,元大MSCI台灣,其他,上市,etf
006204,永豐臺灣加權,其他,上市,etf
006205,富邦上証,其他,上市,etf
006206,元大上證50,其他,上市,etf
006207,復華滬深,其他,上市,etf
006208,富邦台50,其他,上市,etf
00625K,富邦上証+R,其他,上市,etf
00631L,元大台灣50正2,其他,上市,etf
00632R,元大台灣50反1,其他,上市,etf
00633L,富邦上証正2,其他,上市,etf
00634R,富邦上証反1,其他,上市,etf
00635U,期元大S&P黃金,其他,上市,etf
00636,國泰中國A50,其他,上市,etf
00636K,國泰中國A50+U,其他,上市,etf
00637L,元大滬深300正2,其他,上市,etf
00638R,元大滬深300反1,其他,上市,etf
00639,富邦深100,其他,上市,etf
00640L,富邦日本正2,其他,上市,etf
00641R,富邦日本反1,其他,上市,etf
00642U,期元大S&P石油,其他,上市,etf
00643,群益深証中小,其他,上市,etf
00643K,群益深証中小+R,其他,上市,etf
00645,富邦日本,其他,上市,etf
00646,元大S&P500,其他,上市,etf
00647L,元大S&P500正2,其他,上市,etf
00648R,元大S&P500反1,其他,上市,etf
00650L,復華香港正2,其他,上市,etf
00651R,復華香港反1,其他,上市,etf
00652,富邦印度,其他,上市,etf
00653L,富邦印度正2,其他,上市,etf
00654R,富邦印度反1,其他,上市,etf
00655L,國泰中國A50正2,其他,上市,etf
00656R,國泰中國A50反1,其他,上市,etf
00657,國泰日經225,其他,上市,etf
00657K,國泰日經225+U,其他,上市,etf
00660,元大歐洲50,其他,上市,etf
00661,元大日經225,其他,上市,etf
00662,富邦NASDAQ,其他,上市,etf
00663L,國泰臺灣加權正2,其他,上市,etf
00664R,國泰臺灣加權反1,其他,上市,etf
00665L,富邦恒生國企正2,其他,上市,etf
00666R,富邦恒生國企反1,其他,上市,etf
00668,國泰美國道瓊,其他,上市,etf
00668K,國泰美國道瓊+U,其他,上市,etf
00669R,國泰美國道瓊反1,其他,上市,etf
00670L,富邦NASDAQ正2,其他,上市,etf
00671R,富邦NASDAQ反1,其他,上市,etf
00673R,期元大S&P原油反1,其他,上市,etf
00674R,期元大S&P黃金反1,其他,上市,etf
00675L,富邦臺灣加權正2,其他,上市,etf
00676R,富邦臺灣加權反1,其他,上市,etf
00678,群益那斯達克生技,其他,上市,etf
00680L,元大美債20正2,其他,上市,etf
00681R,元大美債20反1,其他,上市,etf
00682U,期元大美元指數,其他,上市,etf
00683L,期元大美元指正2,其他,上市,etf
00684R,期元大美元指反1,其他,上市,etf
00685L,群益臺灣加權正2,其他,上市,etf
00686R,群益臺灣加權反1,其他,上市,etf
00688L,國泰20年美債正2,其他,上市,etf
00689R,國泰20年美債反1,其他,上市,etf
00690,兆豐藍籌30,其他,上市,etf
00692,富邦公司治理,其他,上市,etf
00693U,期街口S&P黃豆,其他,上市,etf
00700,富邦恒生國企,其他,上市,etf
00701,國泰股利精選30,其他,上市,etf
00702,國泰標普低波高息,其他,上市,etf
00703,台新MSCI中國,其他,上市,etf
00706L,期元大S&P日圓正2,其他,上市,etf
00707R,期元大S&P日圓反1,其他,上市,etf
00708L,期元大S&P黃金正2,其他,上市,etf
00709,富邦歐洲,其他,上市,etf
00710B,復華彭博非投等債,其他,上市,etf
00711B,復華彭博新興債,其他,上市,etf
00712,復華富時不動產,其他,上市,etf
00713,元大台灣高息低波,其他,上市,etf
00714,群益道瓊美國地產,其他,上市,etf
00715L,期街口布蘭特正2,其他,上市,etf
00717,富邦美國特別股,其他,上市,etf
00728,第一金工業30,其他,上市,etf
00730,富邦臺灣優質高息,其他,上市,etf
00731,復華富時高息低波,其他,上市,etf
00733,富邦臺灣中小,其他,上市,etf
00735,國泰臺韓科技,其他,上市,etf
00736,國泰新興市場,其他,上市,etf
00737,國泰AI機器人,其他,上市,etf
00738U,期元大道瓊白銀,其他,上市,etf
00739,元大MSCI A股,其他,上市,etf
00752,中信中國50,其他,上市,etf
00753L,中信中國50正2,其他,上市,etf
00757,統一FANG+,其他,上市,etf
00762,元大全球AI,其他,上市,etf
00763U,期街口道瓊銅,其他,上市,etf
00770,國泰北美科技,其他,上市,etf
00771,元大US高息特別股,其他,上市,etf
00775B,新光投等債15+,其他,上市,etf
00783,富邦中証500,其他,上市,etf
00830,國泰費城半導體,其他,上市,etf
00850,元大臺灣ESG永續,其他,上市,etf
00851,台新全球AI,其他,上市,etf
00852L,國泰美國道瓊正2,其他,上市,etf
00861,元大全球未來通訊,其他,上市,etf
00865B,國泰US短期公債,其他,上市,etf
00875,國泰網路資安,其他,上市,etf
00876,元大全球5G,其他,上市,etf
00878,國泰永續高股息,其他,上市,etf
00881,國泰台灣科技龍頭,其他,上市,etf
00882,中信中國高股息,其他,上市,etf
00885,富邦越南,其他,上市,etf
00891,中信關鍵半導體,其他,上市,etf
00892,富邦台灣半導體,其他,上市,etf
00893,國泰智能電動車,其他,上市,etf
00894,中信小資高價30,其他,上市,etf
00895,富邦未來車,其他,上市,etf
00896,中信綠能及電動車,其他,上市,etf
00897,富邦基因免疫生技,其他,上市,etf
00898,國泰基因免疫革命,其他,上市,etf
00899,FT潔淨能源,其他,上市,etf
00900,富邦特選高股息30,其他,上市,etf
00901,永豐智能車供應鏈,其他,上市,etf
00902,中信電池及儲能,其他,上市,etf
00903,富邦元宇宙,其他,上市,etf
00904,新光臺灣半導體30,其他,上市,etf
00905,FT臺灣Smart,其他,上市,etf
00907,永豐優息存股,其他,上市,etf
00908,富邦入息REITs+,其他,上市,etf
00909,國泰數位支付服務,其他,上市,etf
00910,第一金太空衛星,其他,上市,etf
00911,兆豐洲際半導體,其他,上市,etf
00912,中信臺灣智慧50,其他,上市,etf
00913,兆豐台灣晶圓製造,其他,上市,etf
00915,凱基優選高股息30,其他,上市,etf
00916,國泰全球品牌50,其他,上市,etf
00917,中信特選金融,其他,上市,etf
00918,大華優利高填息30,其他,上市,etf
00919,群益台灣精選高息,其他,上市,etf
00920,富邦ESG綠色電力,其他,上市,etf
00921,兆豐龍頭等權重,其他,上市,etf
00922,國泰台灣領袖50,其他,上市,etf
00923,群益台ESG低碳50,其他,上市,etf
00924,復華S&P500成長,其他,上市,etf
00926,凱基全球菁英55,其他,上市,etf
00927,群益半導體收益,其他,上市,etf
00929,復華台灣科技優息,其他,上市,etf
00930,永豐ESG低碳高息,其他,上市,etf
00932,兆豐永續高息等權,其他,上市,etf
00934,中信成長高股息,其他,上市,etf
00935,野村臺灣新科技50,其他,上市,etf
00936,台新永續高息中小,其他,上市,etf
00938,凱基優選30,其他,上市,etf
00939,統一台灣高息動能,其他,上市,etf
00940,元大台灣價值高息,其他,上市,etf
00941,中信上游半導體,其他,上市,etf
00943,兆豐電子高息等權,其他,上市,etf
00944,野村趨勢動能高息,其他,上市,etf
00945B,凱基美國非投等債,其他,上市,etf
00946,群益科技高息成長,其他,上市,etf
00947,台新臺灣IC設計,其他,上市,etf
00949,復華日本龍頭,其他,上市,etf
00951,台新日本半導體,其他,上市,etf
00952,凱基台灣AI50,其他,上市,etf
00953B,群益優選非投等債,其他,上市,etf
00954,中信日本半導體,其他,上市,etf
00956,中信日經高股息,其他,上市,etf
00960,野村全球航運龍頭,其他,上市,etf
00961,FT臺灣永續高息,其他,上市,etf
00962,台新AI優息動能,其他,上市,etf
00963,中信全球高股息,其他,上市,etf
00964,中信亞太高股息,其他,上市,etf
00965,元大航太防衛科技,其他,上市,etf
00971,野村美國研發龍頭,其他,上市,etf
00972,野村日本動能高息,其他,上市,etf
009800,中信NASDAQ,其他,上市,etf
009801,中信美國創新科技,其他,上市,etf
009802,富邦旗艦50,其他,上市,etf
009803,保德信市值動能50,其他,上市,etf
009804,聯邦台精彩50,其他,上市,etf
009805,新光美國電力基建,其他,上市,etf
009808,華南永昌優選50,其他,上市,etf
009809,富邦淨零ESG50,其他,上市,etf
00980A,主動野村臺灣優選,其他,上市,etf
009810,保德信全球藍籌,其他,上市,etf
009811,統一美國50,其他,上市,etf
009812,野村日本東證,其他,上市,etf
009813,貝萊德標普卓越50,其他,上市,etf
00981A,主動統一台股增長,其他,上市,etf
00981T,平衡凱基雙核收息,其他,上市,etf
00982A,主動群益台灣強棒,其他,上市,etf
00982D,主動富邦動態入息,其他,上市,etf
00982T,平衡兆豐台美動能,其他,上市,etf
00983A,主動中信ARK創新,其他,上市,etf
00983D,主動富邦複合收益,其他,上市,etf
00984A,主動安聯台灣高息,其他,上市,etf
00985A,主動野村台灣50,其他,上市,etf
00985B,群益ESG投等債0-5,其他,上市,etf
00986A,主動台新龍頭成長,其他,上市,etf
00987A,主動台新優勢成長,其他,上市,etf
00988A,主動統一全球創新,其他,上市,etf
00989A,主動摩根美國科技,其他,上市,etf
00990A,主動元大AI新經濟,其他,上市,etf
00991A,主動復華未來50,其他,上市,etf
00992A,主動群益科技創新,其他,上市,etf
01001T,土銀富邦R1,其他,上市,stock
01002T,土銀國泰R1,其他,上市,stock
01004T,土銀富邦R2,其他,上市,stock
01007T,兆豐國泰R2,其他,上市,stock
01009T,王道圓滿R1,其他,上市,stock
01010T,京城樂富R1,其他,上市,stock
020000,富邦特選蘋果N,其他,上市,stock
020011,統一微波高息20N,其他,上市,stock
020012,富邦行動通訊N,其他,上市,stock
02001L,富邦蘋果正二N,其他,上市,stock
02001R,富邦蘋果反一N,其他,上市,stock
020020,元大台股領航N,其他,上市,stock
020028,元大特選電動車N,其他,上市,stock
020029,元大ESG高股息N,其他,上市,stock
020030,統一智慧電動車N,其他,上市,stock
